Energy,Optimal_t
2.5328415,2408.2591438293457
2.5455057,2408.2591438293457
2.5582333,2408.2591438293457
2.5710244,2751.5818786621094
2.5716555,2751.5818786621094
2.5781443,2751.5818786621094
2.5838796,2751.5818786621094
2.596799,2751.5818786621094
2.6097829,2751.5818786621094
2.6228319,2751.5818786621094
2.635946,2751.5818786621094
2.6491257,2751.5818786621094
2.6623714,2751.5818786621094
2.6756832,2751.5818786621094
2.6890617,2751.5818786621094
2.702507,3438.2273483276367
2.7160195,3438.2273483276367
2.7295996,3438.2273483276367
2.7432476,3438.2273483276367
2.7569638,3438.2273483276367
2.7707486,3438.2273483276367
2.7846024,3438.2273483276367
2.7985254,3438.2273483276367
2.812518,3438.2273483276367
2.8140455,3438.2273483276367
2.8251547,3438.2273483276367
2.8265806,3438.2273483276367
2.8407135,3438.2273483276367
2.8549171,3438.2273483276367
2.8691917,3438.2273483276367
2.8835376,3438.2273483276367
2.8979553,3438.2273483276367
2.9124451,3438.2273483276367
2.9270073,3438.2273483276367
2.9416424,3438.2273483276367
2.9563506,4124.872817993164
2.9711323,4124.872817993164
2.985988,4124.872817993164
3.0009179,4124.872817993164
3.0159225,4124.872817993164
3.0310021,4124.872817993164
3.0461571,4124.872817993164
3.0613879,4124.872817993164
3.0766949,4124.872817993164
3.0920783,4124.872817993164
3.1075387,4124.872817993164
3.1230764,4124.872817993164
3.1386918,4124.872817993164
3.1543853,4124.872817993164
3.1701572,4811.518287658691
3.186008,4811.518287658691
3.201938,4811.518287658691
3.2179477,4811.518287658691
3.2340374,4811.518287658691
3.2502076,4811.518287658691
3.2664587,4811.518287658691
3.282791,4811.518287658691
3.2992049,4811.518287658691
3.3157009,4811.518287658691
3.3322794,4811.518287658691
3.3489408,5498.163757324219
3.3656856,5498.163757324219
3.382514,5498.163757324219
3.3994265,5498.163757324219
3.4164237,5498.163757324219
3.4335058,5498.163757324219
3.4506733,5498.163757324219
3.4679267,5498.163757324219
3.4852663,5498.163757324219
3.5026927,5498.163757324219
3.5202061,6871.454696655273
3.5378072,6871.454696655273
3.5554962,6871.454696655273
3.5732737,6871.454696655273
3.59114,6871.454696655273
3.6090957,6871.454696655273
3.6271412,6871.454696655273
3.6452769,6871.454696655273
3.6635033,6871.454696655273
3.6818208,6871.454696655273
3.7002299,6871.454696655273
3.7187311,6871.454696655273
3.7373247,6871.454696655273
3.7560114,6871.454696655273
3.7747914,6871.454696655273
3.7936654,6871.454696655273
3.8126337,6871.454696655273
3.8316969,8244.745635986328
3.8508554,8244.745635986328
3.8701096,8244.745635986328
3.8894602,8244.745635986328
3.9089075,8244.745635986328
3.928452,8244.745635986328
3.9480943,8244.745635986328
3.9678347,8244.745635986328
3.9876739,8244.745635986328
4.055024,8244.745635986328
4.334821,10991.327514648438
4.633924,13737.909393310547
4.953664,16484.491271972656
5.295467,21977.655029296875
5.660855,21977.655029296875
6.051453,27470.818786621094
6.469004,32963.98254394531
6.915365,43950.31005859375
7.392525,43950.31005859375
7.902609,65922.96508789062
8.44789,65922.96508789062
9.030794,87895.6201171875
9.653919,109868.27514648438
10.00266,109868.27514648438
10.15577,109868.27514648438
10.19659,109868.27514648438
10.25783,131840.93017578125
10.32004,131840.93017578125
10.41094,131840.93017578125
11.03212,175786.240234375
11.31312,175786.240234375
11.48628,175786.240234375
11.53246,175786.240234375
11.60172,175786.240234375
11.77488,175786.240234375
